,HD,Tel,Ca4227,G4300,HgF,Fe4383,Fe 4531,Fe 4668,Hb,Fe 5015,Mg2,Mgb,Fe5270,Fe 5406,NaD
261,195104,N,0.73,2.65,1.95,1.78,2.03,1.53,3.31,3.74,0.0813,1.4,1.27,0.579,1.08
262,196201,N,1.17,5.61,-1.47,4.26,3.07,3.14,1.66,4.13,0.192,3.8,2.61,1.53,2.25
263,196850,N,0.874,4.28,0.11,3.09,2.4,2.59,2.47,4.13,0.112,2.21,1.79,0.789,1.27
264,196885,N,0.823,3.07,2.02,2.04,2.44,2.54,3.33,3.91,0.0786,1.35,1.42,0.471,1.04
265,197076,N,0.965,4.56,0.141,2.99,2.19,2.21,2.4,3.72,0.106,2.07,1.6,0.589,1.16
266,198089,N,0.718,4.31,0.172,2.47,2.17,1.67,2.87,3.8,0.107,2.08,1.69,0.796,1.37
267,198387,K,1.15,6.33,-1.61,6.13,3.33,5.05,1.33,5.14,0.198,3.68,2.85,1.67,2.0
268,198802,K,0.426,5.59,-0.654,3.69,2.71,3.13,2.59,4.22,0.102,1.49,2.05,0.769,1.44
269,199598,N,0.874,3.95,0.979,3.3,2.39,3.16,2.91,4.51,0.11,1.9,1.8,0.908,1.3
270,202108,K,0.94,4.93,-0.92,3.75,2.54,2.07,2.28,3.6,0.123,2.34,1.99,0.865,1.29
271,202575,K,4.72,5.3,-1.33,8.8,4.76,3.28,1.48,5.57,0.433,7.73,4.55,3.27,5.79
272,204587,K,6.89,5.32,-1.34,8.12,5.74,-2.82,0.891,5.98,0.579,8.27,5.17,3.82,10.3
273,204587,K,6.94,5.13,-1.27,7.19,5.65,-2.75,0.93,6.1,0.576,8.26,5.16,3.81,10.4
274,207740,K,1.17,5.58,-2.01,5.2,2.99,4.01,2.08,4.63,0.166,2.97,2.27,1.3,1.99
275,207740,K,1.13,5.64,-1.9,5.32,2.9,4.07,2.09,4.69,0.169,2.87,2.54,1.33,2.19
276,208776,K,0.325,4.54,0.603,2.45,2.38,2.13,3.02,3.62,0.0824,1.31,1.6,0.608,1.09
277,208801,K,1.67,6.06,-1.83,6.93,3.86,7.78,1.23,5.8,0.314,5.38,3.65,2.38,3.26
278,209393,K,1.08,5.18,-1.42,4.58,2.78,2.52,2.16,4.11,0.141,2.43,1.92,1.06,1.59
279,210312,K,0.813,5.32,-1.16,5.29,3.23,5.28,2.73,5.35,0.154,2.63,2.36,1.22,2.13
280,210460,K,0.576,5.34,-1.29,3.57,2.67,2.26,1.96,3.8,0.1,1.78,1.78,0.844,1.29
281,210667,K,1.49,6.03,-1.23,6.68,3.74,5.95,1.9,5.96,0.235,4.66,3.3,1.9,2.88
282,211038,K,1.46,6.06,-1.78,5.45,3.33,4.57,1.32,4.62,0.246,5.19,3.04,1.67,2.42
283,211080,K,0.52,5.54,-0.751,4.13,3.14,6.11,2.72,5.23,0.142,2.27,2.45,1.17,1.96
284,211080,K,0.584,5.32,-1.09,4.89,3.21,5.72,2.7,5.68,0.143,2.12,2.54,1.07,2.19
285,213472,K,0.844,5.54,-0.846,4.37,2.95,3.96,2.56,4.88,0.129,1.95,1.98,0.98,1.65
286,213472,K,0.902,5.33,-0.943,4.54,2.87,3.95,2.63,4.63,0.128,2.41,2.17,1.04,1.41
287,216259,K,2.82,5.59,-1.41,5.23,3.06,1.72,0.749,3.74,0.343,6.84,2.86,1.63,3.09
288,217014,K,0.707,4.94,-0.647,4.32,2.93,4.66,2.81,4.47,0.143,2.33,2.52,1.07,1.8
289,218687,N,0.69,3.74,0.395,1.87,2.25,1.87,2.94,4.02,0.101,1.94,1.82,0.998,1.42
290,218687,N,0.69,3.74,0.395,1.87,2.25,1.87,2.94,4.02,0.101,1.94,1.82,0.998,1.42
291,219172,N,0.46,2.99,1.52,1.68,1.99,2.66,3.51,4.41,0.091,1.46,1.62,0.745,1.21
292,219172,N,0.46,2.99,1.52,1.68,1.99,2.66,3.51,4.41,0.091,1.46,1.62,0.745,1.21
293,220339,N,1.66,4.47,1.66,6.57,3.23,-1.41,1.04,4.69,0.346,7.48,3.53,2.25,3.47
294,220339,N,1.66,4.47,1.66,6.57,3.23,-1.41,1.04,4.69,0.346,7.48,3.53,2.25,3.47
295,221146,K,0.571,4.91,-0.266,3.97,2.82,3.2,2.84,4.25,0.117,2.12,1.96,0.848,1.68
296,221830,N,0.541,4.64,0.192,1.91,1.79,1.22,2.25,3.7,0.133,2.79,1.52,1.06,1.06
297,221830,N,0.55,4.03,0.15,1.4,1.87,1.38,2.33,3.47,0.121,2.87,1.37,0.565,1.07
298,221830,N,0.55,4.03,0.15,1.4,1.87,1.38,2.33,3.47,0.121,2.87,1.37,0.565,1.07
299,223084,N,0.597,2.71,1.21,1.32,1.84,1.08,3.01,3.75,0.0813,1.74,2.63,10.4,1.34
300,223084,N,0.597,2.71,1.21,1.32,1.84,1.08,3.01,3.75,0.0813,1.74,2.63,10.4,1.34
301,223498,K,1.05,5.51,-1.97,5.5,3.23,5.68,2.32,5.18,0.187,3.1,2.9,1.46,2.13
302,225261,N,1.25,3.94,1.39,3.3,2.46,1.79,1.37,3.99,0.212,5.45,2.59,1.28,1.92
303,225261,N,1.25,3.94,1.39,3.3,2.46,1.79,1.37,3.99,0.212,5.45,2.59,1.28,1.92
304,230409,K,1.15,5.43,-2.11,3.58,1.92,0.576,1.49,2.62,0.165,3.9,1.53,0.747,1.58
305,233641,N,0.518,3.84,1.58,1.84,2.32,1.63,3.18,3.74,0.0753,0.934,1.64,0.372,1.13
306,281540,K,4.82,5.08,-1.16,6.22,3.58,-1.8,-0.188,4.26,0.502,9.37,3.38,2.19,4.74
