,HD,Tel,Ca4227,G4300,HgF,Fe4383,Fe 4531,Fe 4668,Hb,Fe 5015,Mg2,Mgb,Fe5270,Fe 5406,NaD
87,97004,N,0.743,5.42,-1.22,5.52,3.61,7.57,2.46,5.84,0.214,4.39,3.18,1.47,2.45
88,98388,N,0.449,2.06,2.87,1.77,2.17,1.49,3.8,3.89,0.0786,1.38,1.54,0.505,0.899
89,98697,N,0.398,3.29,1.87,1.44,2.08,1.67,3.33,3.44,0.0741,1.09,1.51,0.434,1.06
90,99491,N,1.25,5.94,-2.08,5.6,3.2,7.69,2.11,5.93,0.231,4.67,3.3,1.65,2.78
91,99492,N,3.59,6.78,-1.87,9.51,4.76,7.58,0.73,6.63,0.461,8.87,4.81,3.59,5.95
92,100180,N,0.576,4.01,0.865,2.65,2.42,2.2,2.89,3.92,0.0957,1.97,1.62,0.654,1.13
93,102158,N,0.777,4.94,-0.299,2.87,2.11,1.2,2.16,2.46,0.111,2.52,1.37,0.423,0.999
94,103095,N,1.91,5.05,-0.409,3.44,1.69,-0.143,0.998,1.22,0.179,4.34,1.71,0.614,1.12
95,103432,N,0.835,5.05,-1.1,4.09,3.08,3.05,2.24,4.52,0.145,3.38,2.74,1.3,1.64
96,104556,N,1.24,6.78,-2.49,4.33,3.06,3.5,1.01,4.28,0.197,4.3,2.32,1.24,1.47
97,104800,N,0.944,4.63,0.261,2.01,2.09,0.536,2.42,2.42,0.108,2.5,1.05,-0.0899,0.922
98,105405,N,0.574,3.08,2.01,1.49,1.96,1.1,3.35,3.44,0.0761,1.47,1.27,0.58,1.03
99,105631,N,1.43,5.88,-1.95,6.31,3.65,6.01,1.89,5.74,0.227,4.36,3.58,2.11,2.59
100,106156,N,1.66,6.54,-2.26,6.46,3.54,6.53,1.91,5.43,0.238,4.71,3.56,1.86,2.66
101,106252,N,0.822,4.81,0.0376,2.92,2.67,2.63,2.7,3.98,0.109,2.09,1.69,0.913,1.17
102,106423,N,0.737,4.47,0.68,3.34,2.87,4.89,3.3,5.63,0.12,2.13,2.47,1.03,1.53
103,107146,N,1.08,4.77,0.0711,3.36,2.93,2.96,2.52,4.14,0.118,2.19,1.86,1.11,1.23
104,107213,N,0.476,3.29,2.03,1.41,2.6,2.98,3.63,4.31,0.0711,1.39,1.55,0.481,0.914
105,107705,N,0.83,3.18,1.72,2.43,2.53,2.53,3.18,3.8,0.0805,1.44,1.65,0.59,0.979
106,108874,N,0.898,5.74,-1.78,5.26,2.76,6.3,2.31,5.42,0.193,3.83,2.96,1.52,2.24
107,109358,N,0.713,4.49,0.102,2.2,2.21,1.97,2.64,3.47,0.0971,1.95,1.43,0.665,1.06
108,110315,N,5.66,6.75,-2.06,8.58,5.22,2.51,1.34,6.08,0.608,10.5,4.92,3.63,7.07
109,111066,N,0.597,3.62,1.47,2.05,2.07,1.93,3.4,3.83,0.0797,1.55,1.54,0.603,0.955
110,111395,N,1.47,5.32,-1.04,4.63,2.98,4.07,2.01,4.26,0.141,3.0,2.28,1.09,1.56
111,111398,N,0.944,5.81,-0.72,3.64,2.83,4.18,2.51,4.89,0.146,2.66,2.42,1.16,1.5
112,111515,N,1.22,5.93,-1.41,3.38,2.58,1.23,1.6,3.33,0.177,4.1,2.04,0.746,1.59
113,112060,N,0.814,6.44,-2.0,4.91,3.21,6.26,1.86,4.91,0.146,2.54,2.44,1.1,1.49
114,114174,N,0.9,5.22,-0.598,3.64,2.82,3.52,2.34,4.44,0.142,2.75,2.3,1.17,1.59
115,114762,N,0.493,3.95,0.905,1.93,1.8,0.339,2.54,2.41,0.0811,1.77,1.07,0.239,0.988
116,116442,N,1.64,6.32,-1.67,5.07,3.17,2.09,1.15,3.23,0.241,5.74,2.69,1.79,2.38
117,116443,N,2.14,5.99,-1.79,6.38,3.26,2.53,0.885,4.38,0.314,6.88,3.23,1.9,2.78
118,117126,N,0.924,5.27,-0.629,3.75,2.81,3.65,2.35,4.03,0.133,2.32,2.12,0.977,1.42
119,117176,N,0.968,5.89,-1.26,3.62,2.73,3.4,1.85,3.74,0.111,2.38,1.7,0.708,1.0
120,117936,N,3.85,6.3,-1.26,9.57,5.22,-0.73,1.51,5.11,0.471,8.22,4.74,3.38,5.85
121,118914,N,0.816,4.84,-0.211,3.72,2.77,0.454,2.71,4.14,0.152,2.25,2.56,1.19,1.55
122,120066,N,0.873,4.54,0.517,2.88,2.91,2.81,2.56,4.37,0.101,2.13,1.71,0.724,1.0
123,120136,N,0.654,2.38,3.07,1.78,2.65,1.72,4.12,4.19,0.076,1.21,1.5,0.429,1.07
124,121560,N,0.453,3.26,1.72,1.44,1.71,0.118,3.13,2.56,0.0749,1.49,0.875,0.592,0.932
125,122120,N,4.84,4.39,-1.02,9.02,5.26,-1.91,0.317,6.62,0.563,8.89,4.92,3.82,8.01
126,122652,N,0.465,2.7,1.81,2.41,2.25,1.54,3.52,2.56,0.0894,1.83,1.64,0.649,1.1
127,122676,N,1.14,5.6,-1.37,4.33,2.96,3.82,2.2,4.63,0.174,3.55,2.31,1.65,2.3
128,124642,N,4.88,6.09,-1.15,9.67,4.99,-1.25,1.37,5.17,0.472,7.78,5.05,3.51,5.9
129,124694,N,0.474,3.28,1.68,1.95,2.1,2.17,3.37,3.79,0.0836,1.72,1.66,0.544,0.992
130,125040,N,0.652,1.91,2.54,1.71,2.03,0.927,3.71,3.37,0.09,1.42,1.7,0.767,1.13
131,126053,N,1.08,5.29,-0.55,3.06,1.9,-0.757,2.15,2.27,0.123,2.61,1.56,0.48,1.25
132,126961,N,0.78,3.23,1.98,2.32,1.99,2.16,3.48,4.24,0.0892,1.6,1.6,0.801,1.22
133,127334,N,0.793,5.56,-1.11,4.31,2.71,5.91,2.36,5.25,0.148,2.88,2.25,1.15,1.6
134,128165,N,3.86,6.42,-1.39,8.34,4.28,-1.51,0.73,4.94,0.458,8.34,4.41,3.22,5.21
135,130087,N,0.692,4.68,0.773,2.79,2.59,4.04,3.02,5.97,0.119,1.96,2.14,0.919,1.66
136,130307,N,2.97,6.79,-1.34,6.87,3.71,-1.2,1.1,3.46,0.33,7.0,3.61,2.08,3.37
137,130322,N,1.71,6.98,-1.38,6.39,3.34,4.76,1.77,3.73,0.219,4.48,3.13,1.88,2.45
138,130871,N,3.21,6.64,-1.02,7.29,3.0,-1.29,0.666,3.59,0.441,8.67,4.27,2.6,4.47
139,131509,N,1.29,7.36,-1.75,5.58,2.99,5.37,1.43,3.12,0.217,4.12,3.12,1.77,2.16
140,132142,N,1.9,6.02,-2.49,5.64,2.91,3.58,1.27,4.19,0.287,6.24,3.03,1.63,2.39
141,133161,N,0.73,4.3,0.888,2.94,2.54,3.83,3.27,4.77,0.116,2.31,2.11,0.863,1.48
142,133161,K,0.595,4.34,0.8,2.92,2.84,3.56,3.33,4.68,0.104,1.69,1.86,0.82,1.69
143,133460,N,0.81,4.22,1.46,2.75,2.43,2.55,3.42,5.1,0.103,1.84,1.79,0.973,1.36
144,134044,N,0.589,3.2,1.94,1.93,2.12,2.27,3.56,4.31,0.0841,1.47,1.71,0.59,1.0
145,135101,N,0.799,5.52,-0.952,3.79,2.6,4.92,2.27,4.78,0.15,2.96,1.94,0.901,1.29
146,135599,N,2.22,6.71,-1.71,6.07,3.23,-0.668,1.51,3.88,0.254,5.15,3.15,1.81,2.38
147,136118,K,0.438,3.62,1.65,2.13,2.21,1.5,3.38,3.3,0.0633,0.883,1.25,0.401,1.15
148,136442,K,2.25,6.24,-2.15,8.44,4.43,9.95,1.16,7.13,0.363,6.83,4.55,2.93,4.44
149,136544,N,0.61,0.327,4.47,1.51,2.19,1.54,4.15,4.24,0.0787,1.46,1.65,0.541,0.994
150,136544,K,0.356,2.61,3.29,0.954,2.36,1.51,4.15,3.96,0.0628,1.11,1.38,0.395,1.22
