,Mod,No,Name,Teff,logg,[Fe/H],[Mg/Fe],M,HdA,HdF,CN 1,CN 2,Ca4227,G4300,HgA,HgF,Fe4383,Ca 4455,Fe 4531,C2-4668,Hb,Fe 5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe 5406,Fe 5709,Fe 5782,NaD,TiO1,TiO2
32,TO,26,HD089995,6233.0,3.95,-0.34,-0.046,385.0,3.907,3.063,-0.088,-0.056,0.306,1.741,2.485,3.064,0.54,0.247,1.726,0.939,3.944,2.349,0.003,0.037,0.882,1.028,0.846,0.415,0.268,0.137,0.55,0.006,0.001
33,TO,27,HD128429,6266.0,4.12,-0.13,0.267,518.0,3.408,2.864,-0.089,-0.054,0.417,2.55,2.023,2.834,0.851,0.421,1.888,1.257,3.937,2.76,0.005,0.058,1.52,1.243,1.041,0.423,0.458,0.119,0.954,0.001,0.002
34,TO,28,HD173093,6268.0,4.09,-0.18,0.123,692.0,3.504,2.872,-0.086,-0.054,0.499,2.515,1.961,2.82,0.971,0.383,1.994,1.432,3.863,2.963,0.0,0.048,1.205,1.385,1.082,0.553,0.349,0.193,0.718,-0.002,-0.006
35,TO,29,HD209369,6288.0,3.9,-0.28,0.153,822.0,3.843,2.851,-0.09,-0.059,0.383,1.938,2.582,3.183,0.64,0.368,1.861,0.752,4.014,2.688,-0.004,0.038,0.902,1.145,0.984,0.445,0.333,0.215,0.63,-0.001,-0.004
36,TO,30,HD218804,6261.0,4.05,-0.23,-0.054,862.0,4.078,3.219,-0.093,-0.06,0.464,1.714,2.982,3.294,0.407,0.341,1.722,0.896,4.106,2.653,0.004,0.05,1.148,1.247,0.9,0.513,0.395,0.116,0.799,0.003,0.009
37,TO,31,BD+592723,6112.0,4.17,-2.02,0.528,876.0,3.609,3.108,-0.073,-0.048,0.152,0.044,3.09,2.808,-0.261,0.085,0.32,0.181,3.214,0.056,0.01,0.026,0.631,0.232,0.327,0.123,-0.003,0.022,0.365,0.006,0.003
38,CG,1,HD131430,4190.0,1.95,0.1,-0.398,528.0,-7.221,-1.969,0.291,0.341,2.315,6.386,-11.045,-3.348,8.31,2.067,4.27,8.854,1.034,7.112,0.143,0.285,3.809,4.088,3.856,2.756,1.511,1.464,4.186,0.021,0.05
39,CG,2,HD075691,4270.0,2.12,-0.05,0.015,321.0,-6.601,-1.619,0.22,0.267,1.929,6.321,-9.967,-3.006,7.387,1.837,3.87,7.376,1.026,6.063,0.126,0.252,3.459,3.821,3.49,2.383,1.478,1.233,3.168,0.023,0.041
40,CG,3,HD113092,4283.0,1.95,-0.37,0.182,457.0,-4.085,-0.698,0.131,0.178,1.209,7.001,-8.716,-2.69,4.721,1.528,3.772,4.784,1.064,5.206,0.097,0.201,2.728,2.814,2.538,1.736,1.199,0.77,1.437,0.012,0.033
41,CG,4,HD191046,4317.0,2.01,-0.65,0.474,755.0,-3.513,-0.834,0.076,0.111,1.036,6.952,-7.594,-2.424,4.221,1.32,3.386,3.981,1.247,4.576,0.07,0.16,2.642,2.459,2.297,1.485,1.074,0.694,1.559,0.005,0.017
42,CG,5,HD020893,4340.0,2.04,0.08,-0.102,114.0,-5.997,-1.414,0.248,0.295,1.889,6.31,-10.137,-3.109,7.736,2.1,4.137,8.511,1.4,6.81,0.129,0.265,3.62,3.963,3.72,2.628,1.535,1.364,3.505,0.015,0.041
43,CG,6,HD066141,4258.0,1.9,-0.3,0.061,289.0,-5.395,-1.068,0.167,0.216,1.614,6.564,-9.383,-3.176,6.35,1.833,3.702,5.463,0.925,5.102,0.13,0.241,3.357,3.252,3.038,2.12,1.322,0.972,2.023,0.013,0.033
44,CG,7,HD083618,4231.0,1.74,-0.08,-0.086,357.0,-6.032,-1.45,0.189,0.236,2.143,6.322,-10.357,-3.131,7.318,1.91,4.206,7.13,1.023,6.223,0.135,0.256,3.508,3.664,3.468,2.496,1.498,1.255,2.925,0.014,0.045
45,CG,8,HD124186,4347.0,2.1,0.24,0.002,499.0,-7.452,-1.896,0.327,0.375,2.077,6.382,-10.773,-3.453,8.368,1.976,4.275,10.64,1.224,7.1,0.159,0.307,4.224,4.259,3.925,2.692,1.438,1.349,4.358,0.012,0.044
46,CG,9,HD130705,4336.0,2.1,0.41,-0.029,526.0,-7.541,-1.875,0.373,0.423,1.968,6.467,-10.97,-3.532,8.441,2.099,4.462,11.872,1.328,7.681,0.171,0.321,4.399,4.272,4.156,2.764,1.511,1.455,5.163,0.01,0.045
47,CG,10,HD136726,4159.0,1.91,0.13,-0.087,549.0,-6.397,-1.562,0.217,0.27,2.677,6.222,-10.563,-3.199,8.051,2.21,4.368,7.784,0.897,6.757,0.159,0.292,3.827,3.724,3.793,2.768,1.484,1.44,3.545,0.019,0.065
48,CG,11,HD154733,4200.0,2.09,0.0,-0.03,620.0,-6.444,-1.494,0.237,0.289,2.382,6.048,-10.153,-3.235,7.72,1.933,4.15,7.242,0.94,6.251,0.169,0.314,4.294,3.753,3.797,2.548,1.432,1.366,3.805,0.018,0.05
49,CG,12,HD171443,4189.0,1.84,-0.08,0.009,682.0,-6.517,-1.529,0.263,0.319,2.168,6.618,-10.3,-3.348,7.603,2.015,4.346,8.025,0.868,6.387,0.169,0.3,3.741,3.794,3.676,2.592,1.39,1.307,3.214,0.01,0.048
50,CG,13,M67_F-108,4255.0,1.84,-0.09,0.016,919.0,-6.772,-1.755,0.238,0.288,2.422,6.308,-10.212,-3.253,7.713,2.11,4.426,7.496,0.854,6.227,0.162,0.294,3.674,3.922,3.873,2.655,1.451,1.545,4.215,0.016,0.056
